StationName, StationID
399::"22009 - DE GAULLE 2 (NEUILLY)",22009
400::"22010 - DE GAULLE 4 (NEUILLY)",22010
401::"22402 - JAURES (MALAKOFF)",22402
402::"22406 - MOQUET (MALAKOFF)",22406
403::"23002- FRANCE (LEVALLOIS)",23002
404::"23003 - WILSON (LEVALLOIS)",23003
405::"23007 - WILSON (LEVALLOIS)",23007
406::"23008 - REPUBLIQUE (LEVALLOIS)",23008
407::"31002 - REPUBLIQUE (MONTREUIL)",31002
408::"31004 - PARIS 2 (MONTREUIL)",31004
409::"31005 - PARIS 2  (MONTREUIL)",31005
410::"31006 - REPUBLIQUE 2 (MONTREUIL)",31006
411::"31701 - BERTON (BAGNOLET)",31701
412::"31706 - CHATEAU (BAGNOLET)",31706
413::"31708 - NOISY (BAGNOLET)",31708
414::"31709 - MARCEL (BAGNOLET)",31709
415::"32001 - PROUDHON (SAINT DENIS)",32001
416::"32008 - EMGP NORD (SAINT DENIS)",32008
417::"32601 - PARIS (LES LILAS)",32601
418::"32602 - POULMARCH (LES LILAS)",32602
419::"32604 - KOCK (LES LILAS)",32604
420::"32606 - GARDE CHASSE (LES LILAS)",32606
421::"33001 - EMGP (AUBERVILLIERS)",33001
422::"33003 - FAURE (AUBERVILLIERS)",33003
423::"33009 - FELIX (AUBERVILLIERS)",33009
424::"33011 - FAURE (AUBERVILLIERS)",33011
425::"33013 - RECHAUSSIERE (AUBERVILLIERS)",33013
426::"33102 - JAURES 1 (PRE SAINT GERVAIS)",33102
427::"34005 - LESENNE (SAINT OUEN)",34005
428::"34006 - MICHELET (SAINT OUEN)",34006
429::"34010 - DIDEROT 2 (SAINT OUEN)",34010
430::"35002 - JAURES 2 (PANTIN)",35002
431::"35003 - VAILLANT (PANTIN)",35003
432::"35004 - ALLENDE (PANTIN)",35004
433::"35006 - DELIZY (PANTIN)",35006
434::"35007 - DELESSERT (PANTIN)",35007
435::"35008 - LOLIVE 2 (PANTIN)",35008
436::"35009 - LOLIVE 1 (PANTIN)",35009
437::"35010 - GERVAIS (PANTIN)",35010
438::"35011 - D\u0027ORVES (PANTIN)",35011
439::"35012 - CANDALE (PANTIN)",35012
440::"35013 - TELL (PANTIN)",35013
441::"35014 - DE GAULLE (PANTIN)",35014
442::"41103 - BRIAND (ARCUEIL)",41103
443::"41603 - PASTEUR (SAINT MANDE)",41603
444::"42006 - BROSSOLETTE (IVRY)",42006
445::"42008 - CASANOVA (IVRY)",42008
446::"42010 - ROBESPIERRE (IVRY)",42010
447::"42013 - BARBES (IVRY)",42013
448::"42015 - PAUL BERT (IVRY)",42015
449::"42208 - PARIS 4 (CHARENTON)",42208
450::"42703 - FONTAINEBLEAU (KREMLIN BICETRE)",42703
451::"43001 - PARIS 1 (VINCENNES)",43001
